date,item,category,price,qty,rating,payment_method,takeout
2024-01-01,Americano,Beverage,4500,1,4.6,Mobile App,No
2024-01-01,Cafe Latte,Beverage,5000,1,4.0,Credit Card,Yes
2024-01-01,Cafe Latte,Beverage,5000,2,4.6,Cash,Yes
2024-01-01,Vanilla Latte,Beverage,5500,2,4.7,Mobile App,Yes
2024-01-01,Croffle,Dessert,4000,4,4.4,Credit Card,Yes
2024-01-01,Tiramisu,Dessert,6500,1,3.8,Credit Card,No
2024-01-01,Vanilla Latte,Beverage,5500,3,3.8,Mobile App,Yes
2024-01-01,Macaron,Dessert,3000,1,4.7,Credit Card,No
2024-01-01,Vanilla Latte,Beverage,5500,1,4.7,Credit Card,No
2024-01-01,Cafe Latte,Beverage,5000,1,4.8,Credit Card,No
2024-01-01,Vanilla Latte,Beverage,5500,1,4.6,Mobile App,Yes
2024-01-01,Cafe Latte,Beverage,5000,1,3.6,Mobile App,Yes
2024-01-01,Croffle,Dessert,4000,1,3.8,Credit Card,No
2024-01-01,Americano,Beverage,4500,1,4.3,Credit Card,No
2024-01-01,Americano,Beverage,4500,1,3.7,Mobile App,No
2024-01-01,Cafe Latte,Beverage,5000,1,4.7,Credit Card,Yes
2024-01-01,Cafe Latte,Beverage,5000,2,3.6,Cash,No
2024-01-01,Croffle,Dessert,4000,2,3.7,Credit Card,Yes
2024-01-01,Croffle,Dessert,4000,1,4.9,Cash,Yes
2024-01-01,Americano,Beverage,4500,1,3.7,Credit Card,Yes
2024-01-01,Tiramisu,Dessert,6500,1,4.4,Credit Card,Yes
2024-01-01,Vanilla Latte,Beverage,5500,1,3.7,Credit Card,Yes
2024-01-01,Americano,Beverage,4500,2,4.6,Credit Card,Yes
2024-01-01,Cafe Latte,Beverage,5000,1,4.2,Credit Card,Yes
2024-01-01,Cafe Latte,Beverage,5000,2,4.4,Credit Card,Yes
2024-01-01,Americano,Beverage,4500,1,4.0,Mobile App,Yes
2024-01-01,Cafe Latte,Beverage,5000,1,4.3,Mobile App,Yes
2024-01-01,Americano,Beverage,4500,1,4.7,Credit Card,Yes
2024-01-01,Cafe Latte,Beverage,5000,1,4.8,Mobile App,Yes
2024-01-01,Americano,Beverage,4500,4,4.8,Credit Card,Yes
2024-01-01,Americano,Beverage,4500,2,4.9,Credit Card,No
2024-01-01,Tiramisu,Dessert,6500,3,4.4,Credit Card,Yes
2024-01-01,Americano,Beverage,4500,1,4.3,Credit Card,No
2024-01-01,Croffle,Dessert,4000,2,3.9,Credit Card,Yes
2024-01-01,Americano,Beverage,4500,1,4.9,Mobile App,No
2024-01-01,Cafe Latte,Beverage,5000,1,3.5,Credit Card,No
2024-01-01,Cafe Latte,Beverage,5000,1,3.8,Mobile App,Yes
2024-01-01,Vanilla Latte,Beverage,5500,2,3.9,Credit Card,Yes
2024-01-01,Cafe Latte,Beverage,5000,2,4.3,Credit Card,No
